FirstName,LastName,email
Anna,Frank,anna@frank.com
Alice,Cooper,alice@cooper.com
Arthur,Pendragon,arthur@pendragon.com
Bob,Marley,bob@marley.com
Bob,Sponge,bob@sponge.com
Cat,Stevens,cat@stevens.com
Carl,Sagan,carl@sagan.com
David,Copperfield,david@copperfield.com
Diana,Ross,diana@ross.com
Elthon,John,elthon@john.com
Gerard,Way,gerard@way.com
Hudson,Bay,hudson@bay.com
Isaac,Newton,issac@newton.com
Joe,Thornton,joe@thornton.com
John,Wick,john@wick.com
Kim,Bolan,kim@bolan.com
Lady,Gaga,lady@gagacom
Megan,Fox,megan@fox.com
Michael,Jordan,michael@jordan.com
Mick,Jagger,mick@jagger.com
Natalie,Portman,natalie@portman.com
Nelson,Mandela,nelson@mandela.com
Oscar,Wilde,oscar@wilde.com
Pau,Gasol,pau@gasol.com
Pete,Davidson,pete@davidson.com
Rami,Malek,rami@malek.com
Red,Robin,red@robin.com
Rick,Devens,rick@devens.com
Roger,Federer,roger@federer.com
Ruby,Rose,ruby@rose.com
Sarah,Paulson,sarah@paulson.com
Seth,Curry,seth@curry.com
Sidney,Crosby,sidney@crosby.com
Son,Goku,son@goku.com
Sophie,Turner,sophie@turner.com
Terry,Crews,terry@crews.com
